,İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
176,22/04/2020,Audi,A3,"1.6 TDI Sportback
",2016.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,52000,194500
177,22/04/2020,Audi,A8,3.0 TDI Quattro Long,2012.0,Dizel,Otomatik Vites,1300 cc ve altı,251-275 BG,Siyah ,Sedan,Galeriden,2. El,194000,475000
179,20/04/2020,Audi,A6,2.0 TDI,2013.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Galeriden,2. El,220000,265000
180,19/04/2020,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,179000,96000
181,27/05/2020,Dacia,Dokker,"1.5 dCi Ambiance
",2015.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Camlı Van,Galeriden,2. El,178535,63750
182,18/04/2020,Audi,A3,1.6 Attraction Sportback,2011.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,140000,97500
201,09/06/2020,Renault,Fluence,1.5 dCi Touch,2014.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Gri ,Sedan,Galeriden,2. El,124000,105500
260,03/06/2020,Hyundai,I20,1.2 Team,2011.0,Benzin,Düz Vites,1300 cc ve altı,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,220000,49500
339,12/05/2020,Jeep,Cherokee,5.2,2000.0,Benzin/LPG,Otomatik Vites,2001-2500 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,249038,70750
359,08/06/2020,Renault,Fluence,1.5 dCi Touch,2014.0,Dizel,Otomatik Vites,1601-1800 cc,126-150 BG,Gri ,Sedan,Galeriden,2. El,130000,104000
378,12/05/2020,Mercedes,Vito,110 D,2000.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Beyaz ,Camlı Van,Galeriden,2. El,250000,49500
398,11/06/2020,Peugeot,2008,1.2 PureTech GT Line,2020.0,Benzin,Otomatik Vites,1300 cc ve altı,126-150 BG,Gri ,Arazi Aracı,Galeriden,0 km,10,269500
447,16/04/2020,Audi,A3,"1.0 TFSI Sportback
",2018.0,Benzin,Otomatik Vites,1300 cc ve altı,101-125 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,50000,159000
448,14/04/2020,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,88000,189900
450,09/04/2020,Audi,A3,1.6 Ambiente,2006.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,101-125 BG,Füme ,Hatchback 5 Kapı,Sahibinden,2. El,115000,107000
452,04/04/2020,Audi,A6,2.0 TDI,2006.0,Dizel,Düz Vites,2001-2500 cc,151-175 BG,Gümüş Gri ,Sedan,Sahibinden,2. El,379000,89500
453,04/04/2020,Audi,100 Serisi,2.0,2006.0,Benzin/LPG,Otomatik Vites,2001-2500 cc,101-125 BG,Mavi ,Sedan,Sahibinden,Klasik,215000,15000
454,04/04/2020,Audi,A4,2.0 TDI,2008.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Siyah ,Sedan,Sahibinden,2. El,233000,95500
455,02/04/2020,Audi,A8,4.2 4.2 Quattro Long,1995.0,Benzin/LPG,Yarı Otomatik Vites,4001-4500 cc,301-325 BG,Gümüş Gri ,Sedan,Sahibinden,2. El,383000,50000
456,02/04/2020,Audi,A3,1.6 Attraction,2007.0,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Gümüş Gri ,Hatchback 3 Kapı,Sahibinden,2. El,211000,65000
457,01/04/2020,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,160000,176500
458,20/05/2020,BMW,7 Serisi,740d xDrive Exclusive,2012.0,Dizel,Otomatik Vites,3501-4000 cc,251-275 BG,Beyaz ,Sedan,Galeriden,2. El,128707,597500
459,01/04/2020,Audi,S Serisi,S5 3.0 TFSI Quattro,2010.0,Benzin,Yarı Otomatik Vites,2501-3000 cc,326-350 BG,Siyah ,Spor / Coupe,Galeriden,2. El,160000,350000
460,30/03/2020,Audi,A6,3.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Gri ,Sedan,Galeriden,2. El,211000,260000
461,28/03/2020,Audi,A4,1.4 TFSI Design,2018.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Sedan,Sahibinden,2. El,47000,299500
463,26/03/2020,Audi,Q5,2.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,252431,187500
464,25/03/2020,Audi,A6,2.0 TDI,2011.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,375000,140000
465,25/03/2020,Audi,A3,1.4 TFSI,2010.0,Benzin,Düz Vites,Bilmiyorum,126-150 BG,Beyaz ,Hatchback 3 Kapı,Sahibinden,2. El,99000,95000
466,23/03/2020,Audi,A6,2.4 V6,2002.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,376-400 BG,Gri ,Sedan,Sahibinden,2. El,310000,56750
467,22/03/2020,Audi,Q7,3.0 TDI Quattro,2008.0,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Siyah ,Arazi Aracı,Sahibinden,2. El,275000,180000
468,22/03/2020,Audi,A4,2.0 TDI,2013.0,Dizel,Yarı Otomatik Vites,Bilmiyorum,151-175 BG,Beyaz ,Sedan,Sahibinden,2. El,200000,178000
471,19/03/2020,Audi,A4,1.6,2008.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Mavi ,Sedan,Sahibinden,2. El,182700,94500
473,16/06/2020,BMW,3 Serisi,3.18i,2000.0,Benzin/LPG,Düz Vites,1801-2000 cc,101-125 BG,Siyah ,Sedan,Sahibinden,2. El,165000,71000
474,16/06/2020,BMW,3 Serisi,3.20d,2003.0,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,315000,83000
475,16/06/2020,BMW,1 Serisi,1.16i Sport,2012.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,91489,158500
476,16/06/2020,BMW,3 Serisi,3.16i,1995.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Mor ,Hatchback 3 Kapı,Sahibinden,2. El,30000,29750
477,15/06/2020,BMW,3 Serisi,3.16i,2011.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,176-200 BG,Beyaz ,Sedan,Sahibinden,2. El,87000,160750
479,15/06/2020,BMW,Diğer,Diğer,2013.0,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Beyaz ,Sedan,Galeriden,2. El,160000,253000
480,15/06/2020,BMW,X3,2.0d xDrive,2009.0,Dizel,Otomatik Vites,3001-3500 cc,226-250 BG,Siyah ,MPV,Sahibinden,2. El,210000,153000
481,15/06/2020,BMW,X3,2.0d xDrive,2009.0,Dizel,Otomatik Vites,3001-3500 cc,176-200 BG,Siyah ,MPV,Sahibinden,2. El,210000,153000
