,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
107,Audi,A3,1.6 Attraction Sportback,2011.0,Benzin/LPG,Düz Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,140000,97500
108,Renault,Fluence,1.5 dCi Touch,2014.0,Dizel,Otomatik Vites,1301,101,Gri ,Sedan,Galeriden,2. El,124000,105500
109,Hyundai,I20,1.2 Team,2011.0,Benzin,Düz Vites,1300,100,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,220000,49500
110,Jeep,Cherokee,5.2,2000.0,Benzin/LPG,Otomatik Vites,2001,126,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,249038,70750
111,Renault,Fluence,1.5 dCi Touch,2014.0,Dizel,Otomatik Vites,1601,126,Gri ,Sedan,Galeriden,2. El,130000,104000
112,Mercedes,Vito,110 D,2000.0,Dizel,Düz Vites,1601,101,Beyaz ,Camlı Van,Galeriden,2. El,250000,49500
113,Peugeot,2008,1.2 PureTech GT Line,2020.0,Benzin,Otomatik Vites,1300,126,Gri ,Arazi Aracı,Galeriden,0 km,10,269500
114,Audi,A3,"1.0 TFSI Sportback
",2018.0,Benzin,Otomatik Vites,1300,101,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,50000,159000
115,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,88000,189900
116,Audi,A3,1.6 Ambiente,2006.0,Benzin/LPG,Otomatik Vites,1601,101,Füme ,Hatchback 5 Kapı,Sahibinden,2. El,115000,107000
117,Audi,A6,2.0 TDI,2006.0,Dizel,Düz Vites,2001,151,Gümüş Gri ,Sedan,Sahibinden,2. El,379000,89500
118,Audi,100 Serisi,2.0,2006.0,Benzin/LPG,Otomatik Vites,2001,101,Mavi ,Sedan,Sahibinden,Klasik,215000,15000
119,Audi,A4,2.0 TDI,2008.0,Dizel,Yarı Otomatik Vites,1801,126,Siyah ,Sedan,Sahibinden,2. El,233000,95500
120,Audi,A8,4.2 4.2 Quattro Long,1995.0,Benzin/LPG,Yarı Otomatik Vites,4001,301,Gümüş Gri ,Sedan,Sahibinden,2. El,383000,50000
121,Audi,A3,1.6 Attraction,2007.0,Benzin/LPG,Yarı Otomatik Vites,1301,101,Gümüş Gri ,Hatchback 3 Kapı,Sahibinden,2. El,211000,65000
122,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801,126,Beyaz ,Sedan,Galeriden,2. El,160000,176500
123,BMW,7 Serisi,740d xDrive Exclusive,2012.0,Dizel,Otomatik Vites,3501,251,Beyaz ,Sedan,Galeriden,2. El,128707,597500
124,Audi,S Serisi,S5 3.0 TFSI Quattro,2010.0,Benzin,Yarı Otomatik Vites,2501,326,Siyah ,Spor / Coupe,Galeriden,2. El,160000,350000
125,Audi,A6,3.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,2501,226,Gri ,Sedan,Galeriden,2. El,211000,260000
126,Audi,A4,1.4 TFSI Design,2018.0,Benzin,Yarı Otomatik Vites,1301,126,Beyaz ,Sedan,Sahibinden,2. El,47000,299500
127,Audi,Q5,2.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,1801,151,Beyaz ,Arazi Aracı,Galeriden,2. El,252431,187500
128,Audi,A6,2.0 TDI,2011.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,375000,140000
129,Audi,A6,2.4 V6,2002.0,Benzin/LPG,Otomatik Vites,1301,376,Gri ,Sedan,Sahibinden,2. El,310000,56750
130,Audi,Q7,3.0 TDI Quattro,2008.0,Dizel,Otomatik Vites,2501,226,Siyah ,Arazi Aracı,Sahibinden,2. El,275000,180000
131,Audi,A4,1.6,2008.0,Benzin/LPG,Düz Vites,1301,101,Mavi ,Sedan,Sahibinden,2. El,182700,94500
132,BMW,3 Serisi,3.18i,2000.0,Benzin/LPG,Düz Vites,1801,101,Siyah ,Sedan,Sahibinden,2. El,165000,71000
133,BMW,3 Serisi,3.20d,2003.0,Dizel,Otomatik Vites,1801,126,Siyah ,Sedan,Galeriden,2. El,315000,83000
134,BMW,1 Serisi,1.16i Sport,2012.0,Dizel,Yarı Otomatik Vites,1301,126,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,91489,158500
135,BMW,3 Serisi,3.16i,1995.0,Benzin/LPG,Düz Vites,1301,101,Mor ,Hatchback 3 Kapı,Sahibinden,2. El,30000,29750
136,BMW,3 Serisi,3.16i,2011.0,Benzin/LPG,Otomatik Vites,1601,176,Beyaz ,Sedan,Sahibinden,2. El,87000,160750
137,BMW,Diğer,Diğer,2013.0,Dizel,Otomatik Vites,2501,226,Beyaz ,Sedan,Galeriden,2. El,160000,253000
138,BMW,X3,2.0d xDrive,2009.0,Dizel,Otomatik Vites,3001,226,Siyah ,MPV,Sahibinden,2. El,210000,153000
139,BMW,X3,2.0d xDrive,2009.0,Dizel,Otomatik Vites,3001,176,Siyah ,MPV,Sahibinden,2. El,210000,153000
140,BMW,3 Serisi,3.18i,1996.0,Benzin/LPG,Düz Vites,1601,151,Yeşil ,Sedan,Sahibinden,2. El,300000,48000
141,BMW,3 Serisi,3.20d Premium,2008.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Sahibinden,2. El,167000,112000
142,BMW,3 Serisi,3.16i,2005.0,Benzin/LPG,Düz Vites,1301,101,Siyah ,Sedan,Sahibinden,2. El,245000,61500
143,BMW,3 Serisi,3.20d Sport,2012.0,Dizel,Yarı Otomatik Vites,1801,176,Beyaz ,Sedan,Galeriden,2. El,147000,141500
144,BMW,5 Serisi,530i xDrive M Sport,2017.0,Benzin,Otomatik Vites,1801,251,Beyaz ,Sedan,Galeriden,2. El,60000,669900
145,BMW,7 Serisi,7.30Ld,2007.0,Dizel,Yarı Otomatik Vites,2501,226,Gri ,Sedan,Sahibinden,2. El,403000,148000
146,BMW,3 Serisi,3.20i EfficientDynamics M Paket,2014.0,Benzin,Yarı Otomatik Vites,1301,151,Beyaz ,Sedan,Galeriden,2. El,117000,239500
147,BMW,4 Serisi,420d M Sport,2016.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Üstü Açık / Cabriolet,Sahibinden,2. El,61000,495000
148,BMW,X6,4.0d xDrive,2011.0,Dizel,Otomatik Vites,2501,301,Beyaz ,Arazi Aracı,Galeriden,2. El,205000,389000
149,BMW,X5,3.0d xDrive,2009.0,Dizel,Otomatik Vites,2501,176,Beyaz ,Diğer,Galeriden,2. El,39000,269600
